"投稿日","キャプション"
"2026-08-23","見た目はふつうの人。でも資産100億円。

ある資産形成グループで紹介された人が、100億円を超える資産家だと聞いて、正直ぽかんとしました。

その話を周りにすると、返ってくる言葉はだいたい同じ。
「怖くない？」「怪しくない？」「私には無理」

でも、そう言われるほど気になってしまって。
結局いちばん知りたかったのは、自分だったんですよね。

あれから3年。
最初に口から出たのは「増えた」ではなく「減らなくてよかった」でした。

人生を変えるのは、大きな決断じゃなくて、案外こういう小さな出会いなのかもしれません。

あなたの人生を変えた出会い、ありますか？

─────
#インスタ漫画 #漫画が読めるハッシュタグ #お金の勉強 #資産形成 #お金の話 #ライフプラン #学び直し #人生を変えた出会い #コツコツ #主婦の勉強垢 #40代からの挑戦 #お金と暮らし"
"2026-08-24","「時間を切り売りする」か「資産に働いてもらう」か。

ホワイトボードに並んだ2つの言葉が、いまだに忘れられません。

やっていることの違いじゃなくて、見ている景色の違いなんだ、と。

そしてもうひとつ言われたのが
「孤独を回避することが最大の鍵」。

お金の話だと思って聞きに行ったのに、返ってきたのは人の話でした。

大きく増やすことに執着しない。
減らないことに価値がある。

一度この考え方を知ってしまうと、もう前の自分には戻れませんでした。

守ることと増やすこと、あなたはどちらを先に考えますか？

─────
#インスタ漫画 #漫画が読めるハッシュタグ #お金の勉強 #資産形成 #マインドセット #お金の話 #ライフプラン #学び直し #価値観 #主婦の勉強垢 #生き方 #豊かさとは"
"2026-08-25","いちばん変わったのは、お金じゃなくて時間の使い方でした。

「早くしなきゃ」「間に合わない」が口ぐせだった頃は、いつも誰かに時間を奪われている感覚だったんです。

でも今は、自分で創るものだと思えるようになりました。

心に余裕があるから、人に優しくできる。
順番が逆じゃなかったんですね。

そして言われた言葉が
「影響力を持つということは、責任を持つということ」。

たどり着いたと思った場所が、実はスタートラインでした。

これで第1章はおしまいです。
明日から、新しいお話が始まります。

─────
#インスタ漫画 #漫画が読めるハッシュタグ #時間の使い方 #お金の勉強 #資産形成 #心の余裕 #ライフプラン #学び直し #主婦の勉強垢 #自分時間 #豊かさとは #お金の話"
"2026-08-26","寝る前にチャートを見てしまう人、いませんか？

節約して、勉強して、コツコツ積み立てて。
グラフが右肩上がりになっていくのが嬉しくて、毎日アプリを開いていました。

でもある日から、そのアプリを開くのが怖くなったんです。

「株で大儲け」「億り人続出」「今が買い時」
その言葉に背中を押されて始めて、気づけば身動きが取れなくなっていました。

損切りもできない。やめるにもやめられない。

そのとき初めて出てきた本音が
「もう大きく増えなくていいから、これ以上減らしたくない」でした。

その資産家の人が教えてくれました。

「大きく増やすことより、減らさないことに価値があるんだよ」

─────
#インスタ漫画 #漫画が読めるハッシュタグ #積立投資 #お金の勉強 #資産形成 #投資初心者 #メンタル #お金の話 #ライフプラン #主婦の勉強垢 #コツコツ積立 #お金の不安"
"2026-08-27","「守りを固めることが、最大の攻めになるんだ」

スポーツみたいな話だなと思いながら聞いていました。

でも実際に守りの土台ができてみると、あれだけ張りついていた不安が、本当にすっと軽くなったんです。

速報で「世界市場が大幅下落」と流れてきた日。
以前の私なら一日中スマホを握りしめていたと思います。

その日は、普通にごはんを食べて、普通に眠れました。

ずっと1億円を目標にしていました。
でもたどり着いてみたら、そこは通過点だったんです。

いちばん手に入れたかったものは、数字じゃなくて心の平穏でした。

あなたの目標の、その先には何がありますか？

─────
#インスタ漫画 #漫画が読めるハッシュタグ #お金の勉強 #資産形成 #心の平穏 #投資初心者 #お金の話 #ライフプラン #学び直し #主婦の勉強垢 #お金の不安 #豊かさとは"
"2026-08-28","高校で約100万円、大学で約500万円、留学ならさらに約500万円。

子どもの教育費、ちゃんと調べたことありますか？

並んだ数字を見て、正直いちど青ざめました。
私にできるのかな、って。

でも、あの子たちが夢に向かって輝いている顔を思い浮かべたら、答えは決まっていました。

じゃあどうやって備えよう、と調べ始めたら今度は手が止まって。
株、FX、不動産、暗号資産……どれも失敗できないお金だから。

私が欲しかったのは、一発逆転じゃなくて
「安全性・再現性・継続性」でした。

なぜお金持ちは、ずっとお金持ちでいられるんだろう？

本や動画をやめて、実際に会いに行くことにしました。

─────
#インスタ漫画 #漫画が読めるハッシュタグ #教育費 #子育て #お金の勉強 #学資 #資産形成 #ママの勉強垢 #ライフプラン #お金の話 #教育資金 #子どもの未来"
"2026-08-29","「あなた、変わったわね」

ママ友にそう言われました。
「どうしてそんなに未来のことを穏やかに考えられるの？」

自分では気づいていなかったけれど、たしかに変わったんだと思います。

お金が増えたからじゃなくて、大切なものを守る方法を知ったから。

教えてもらったのは「複利と時間」の話。
小さな芽が、5年後には木になって、15年後には実をつける。

焦っていたときは、時間が敵に見えていたんです。
早くしなきゃ、間に合わない、って。

でも本当は、時間こそが最強の味方でした。

不安がなくなると、顔つきまで変わるみたいです。

─────
#インスタ漫画 #漫画が読めるハッシュタグ #複利 #時間は味方 #お金の勉強 #教育費 #資産形成 #ママの勉強垢 #ライフプラン #お金の話 #コツコツ #子どもの未来"
"2026-08-30","「いくら増やすことを考えても、守れなければ意味がない」

富裕層の「守る哲学」を教えてもらいました。

そして、こう続きます。
「富裕層はね、ただ増やすだけじゃない。減らさない。絶対に減らさない」

増やすことばかりに目がいっていた私には、けっこう衝撃でした。

黒板に書いたのは、豊かさのサイクル。

守る → 育てる → 分かち合う

不思議なもので、分かち合うほどに減るどころか、どんどん広がっていくんです。

たった一人で不安を抱えていたところから始まった話が、気づけばこんなに大勢の景色になっていました。

─────
#インスタ漫画 #漫画が読めるハッシュタグ #資産防衛 #お金の勉強 #資産形成 #守る力 #分かち合い #ライフプラン #お金の話 #主婦の勉強垢 #学び直し #豊かさとは"
"2026-08-31","久しぶりに会った友達の顔を見て、言葉が出ませんでした。

目の下にはクマ。
会話の途中でも、何度もスマホをのぞき込む。

「また損が出てる…眠れないよ」

心が、すり減っちゃってるね。
それって本当に、あなたが望んだ投資だったのかな。

「ここは戦場よ。勝つか負けるか」

そう言う友達に、私はこう言いました。
「その勝ち負けの土俵から、降りませんか？」

「あの戦場から降りてもいいなんて、知らなかった…」

知らないだけで、選択肢がないと思い込んでしまうことって、ありますよね。

争いに勝つことが幸せじゃない。
平和を築くことが、一番の勝利なの。

─────
#インスタ漫画 #漫画が読めるハッシュタグ #投資疲れ #お金の勉強 #メンタルヘルス #資産形成 #お金の話 #ライフプラン #主婦の勉強垢 #心の余裕 #生き方 #お金の不安"
"2026-09-01","「守りの土台ができたから、もう迷わない」

自分が教わったことを話しているだけなのに、それが誰かの力になっている。
不思議な感覚でした。

安心って、増えた金額のことじゃないんだなと、あらためて思います。

持ち寄りのごはんを囲んで、笑いながら話す。
ただそれだけの時間。

でも「この時間が、一番の財産ですね」という一言に、全員がうなずきました。

いちばん増やしたかったのは、たぶんこれだったんだと思います。

守る力は、もう手に入れた。
じゃあ次は何のために使おう。

あなたにとっての「一番の財産」って、何ですか？

─────
#インスタ漫画 #漫画が読めるハッシュタグ #お金の勉強 #資産形成 #つながり #分かち合い #お金の話 #ライフプラン #主婦の勉強垢 #豊かさとは #人生の財産 #学び直し"
