投稿日,画像ファイル,X本文,Threads本文,ステータス
2026-08-23,images/1-1.jpg,"「100億円超えの資産家」

見た目は、どこにでもいる普通の人だった。

人生って、誰と出会うかで決まるのかも。

#3コマ漫画 #お金の話","ある資産形成グループで紹介された人が、100億円を超える資産家だと聞いて、正直ぽかんとしました。

だって見た目は、本当にどこにでもいる普通の人だったから。

人生を変えるのって、大きな決断じゃなくて、案外こういう小さな出会いなのかもしれません。

あなたの人生を変えた出会い、ありますか？",済
2026-08-23,images/1-2.jpg,"「怖い」「怪しい」「私には無理」

まわりの反応はぜんぶ同じだった。

でも私は、もっと知りたいと思ってしまった。","新しい世界の話をすると、返ってくる言葉はだいたい決まっています。

「怖くない？」「怪しくない？」「私には無理」

でも不思議なもので、そう言われるほど気になってしまって。結局いちばん知りたかったのは、自分だったんですよね。

「みんなが止めること」に惹かれた経験、ありませんか？",済
2026-08-23,images/1-3.jpg,"3年後。

大きく増えたことより、
減らなかったことが嬉しかった。","あれから3年。

「いくら増えたか」より先に口から出たのが、「減らなくてよかった」だったんです。自分でも意外でした。

数字が動くたびに一喜一憂していた頃の自分に、いちばん聞かせたい言葉かもしれません。

守れたことを、もっと褒めていいと思うんです。",済
2026-08-24,images/2-1.jpg,"資産家の世界と、労働者脳。

分かれ道は「時間を売るか、資産に働いてもらうか」だった。

#3コマ漫画","ホワイトボードに並んだ2つの言葉が、いまだに忘れられません。

・時間を切り売りする
・資産に働いてもらう

やっていることの違いじゃなくて、見ている景色の違いなんだ、と。

そしてもうひとつ言われたのが「孤独を回避することが最大の鍵」。お金の話だと思って聞きに行ったのに、返ってきたのは人の話でした。",済
2026-08-24,images/2-2.jpg,"大きく増やすことには、執着しない。

減らないことに、価値がある。

一度知ると、もう戻れない。","「大きく増やすことに執着しない」

最初に聞いたときは、ずいぶん欲のない話だなと思いました。

でも実際にやってみると、これがいちばん難しい。増やすより、守るほうがずっと勇気がいるんです。

そして一度この考え方を知ってしまうと、もう前の自分には戻れませんでした。

守ることと増やすこと、あなたはどちらを先に考えますか？",済
2026-08-24,images/2-3.jpg,"自分も相手も、必ずウィンウィンに。

生きる意味って、
たぶんこういうことなんだと思う。","「どちらかが得をして、どちらかが損をする」

そういう関係に、いつのまにか慣れてしまっていた気がします。

でも本当に続く関係って、必ず両方が良くなっている。当たり前のようで、意外とできていなかったなと。

信頼できる人と過ごす豊かな時間。それ以上のものって、あるでしょうか。",済
2026-08-25,images/3-1.jpg,"時間は、奪われるものじゃなくて
創るものだった。

心に余裕があるから、人に優しくなれる。

#3コマ漫画 #時間の使い方","いちばん変わったのは、お金じゃなくて時間の使い方でした。

「早くしなきゃ」「間に合わない」が口ぐせだった頃は、いつも誰かに時間を奪われている感覚だったんです。

でも今は、自分で創るものだと思えるようになりました。

心に余裕があるから、人に優しくできる。順番が逆じゃなかったんですね。",済
2026-08-25,images/3-2.jpg,"影響力を持つということは、
責任を持つということ。

一人じゃない。最高のチームだ。","「影響力を持つということは、責任を持つということ」

この言葉を聞いてから、発信することが少しだけ怖くなりました。でも、それでいいんだと思います。

そして何より嬉しかったのが「一人じゃない」と言えること。

人から感謝される喜びが、何よりの報酬。きれいごとに聞こえますか？ 私は本気でそう思っています。",済
2026-08-25,images/3-3.jpg,"ここはゴールじゃなくて、
ただの始まりだった。

未来は、私たちの手の中にある。","第1章、これでおしまいです。

たどり着いたと思った場所が、実はスタートラインでした。

手のひらの小さな芽を見ながら「次はどんな世界を創ろうか」と話したあの日のことを、たぶんずっと覚えていると思います。

明日から新しい物語が始まります。よかったら、続きも見ていってください。",済
2026-08-26,images/4-1.jpg,"1億円を目指して、コツコツ積立。

はずが、相場の上下で夜も眠れない。

私のメンタル、もう限界かも。

#3コマ漫画 #積立投資","節約して、勉強して、コツコツ積み立てて。

グラフが右肩上がりになっていくのが嬉しくて、毎日アプリを開いていました。

でもある日から、そのアプリを開くのが怖くなったんです。

上がっても下がっても、心が持っていかれる。あれ、私は何のためにこれを始めたんだっけ？

寝る前にチャートを見てしまう人、いませんか？",済
2026-08-26,images/4-2.jpg,"「今が買い時」の声に乗って、
気づけば損切りもできない。

もう増えなくていい。
これ以上、減らしたくない。","「株で大儲け」「億り人続出」「今が買い時」

その言葉に背中を押されて始めて、気づけば身動きが取れなくなっていました。

損切りもできない。やめるにもやめられない。

そのとき初めて出てきた本音が、「もう大きく増えなくていいから、これ以上減らしたくない」でした。

この気持ち、わかる人いますか？",済
2026-08-26,images/4-3.jpg,"「大きく増やすことより、
減らさないことに価値があるんだよ」

その一言で、全部ひっくり返った。","その資産家の人が教えてくれました。

「大きく増やすことより、減らさないことに価値があるんだよ」

正直、最初は意味がわかりませんでした。増やすために始めたのに、と。

でもその一言が、それまでの前提をぜんぶひっくり返してくれたんです。

人生で「効いた一言」って、覚えていますか？",済
2026-08-27,images/5-1.jpg,"守りを固めることが、
最大の攻めになる。

不安が、嘘みたいに消えていった。

#3コマ漫画 #資産形成","「守りを固めることが、最大の攻めになるんだ」

スポーツみたいな話だなと思いながら聞いていました。

でも実際に守りの土台ができてみると、あれだけ張りついていた不安が、本当にすっと軽くなったんです。

数字の先にある景色が見えたというか。

守りを固めてから攻める。仕事でも同じかもしれませんね。",
2026-08-27,images/5-2.jpg,"世界市場、大幅下落。

前なら眠れなかったニュースを、
今日は普通に見ていられた。","速報で「世界市場が大幅下落」と流れてきました。

以前の私なら、その日は一日中スマホを握りしめて、夜も眠れなかったと思います。

でもその日は、普通にごはんを食べて、普通に眠れました。

外がどんなに騒がしくても揺るがない。この静けさが、いちばんの成果かもしれません。

数字に支配される日々は、もう終わりにしました。",
2026-08-27,images/5-3.jpg,"1億円は、ただの通過点だった。

本当の豊かさは、この心の平穏にある。","ずっと1億円を目標にしていました。

でもたどり着いてみたら、そこはゴールじゃなくて、ただの通過点だったんです。

いちばん手に入れたかったものは、数字じゃなくて心の平穏でした。

「さあ、次はあなたが誰かの力になる番だ」

そう言われて、第2章が終わりました。あなたの目標の、その先には何がありますか？",
2026-08-28,images/6-1.jpg,"高校100万、大学500万、留学500万。

数字を見て、一度は青ざめた。

それでも、あの子の夢を見てみたい。

#3コマ漫画 #教育費","子どもの教育費、ちゃんと調べたことありますか？

高校で約100万円、大学で約500万円、留学ならさらに約500万円。

並んだ数字を見て、正直いちど青ざめました。私にできるのかな、って。

でも、あの子たちが夢に向かって輝いている顔を思い浮かべたら、答えは決まっていました。

やるしかない。全力で応援したい。",済
2026-08-28,images/6-2.jpg,"株？FX？不動産？

どれもリスクが高そうで、手が止まる。

投機じゃなくて、着実に増やしたいだけなのに。","子どもの教育費を考えたとき、まず調べたのが「増やす方法」でした。

株、FX、不動産、暗号資産……。

でも調べれば調べるほど、手が止まるんです。だって、失敗できないお金だから。

私が欲しかったのは、一発逆転じゃなくて「安全性・再現性・継続性」でした。

そこでふと思ったんです。なぜお金持ちは、ずっとお金持ちでいられるんだろう？",済
2026-08-28,images/6-3.jpg,"「私、学びます。お金持ちから」

答えを持っている人に、
直接聞きにいくことにした。","本を読んでも、動画を見ても、なんだかピンとこなくて。

それで思いきって、実際にその世界にいる人のところへ行くことにしました。

「ぜひ、色々と教えてください」

返ってきたのは「よく来たね。一緒に学んでいこう」という言葉でした。

聞きに行くって、思っていたよりずっと怖くなかったです。",済
2026-08-29,images/7-1.jpg,"「あなた、変わったわね」

ママ友にそう言われた。

大切なものを守る秘訣を、見つけたから。

#3コマ漫画","ママ友に言われました。

「あなた、変わったわね。どうしてそんなに未来のことを穏やかに考えられるの？」

自分では気づいていなかったけれど、たしかに変わったんだと思います。

お金が増えたからじゃなくて、大切なものを守る方法を知ったから。

不安がなくなると、顔つきまで変わるみたいです。",済
2026-08-29,images/7-2.jpg,"今 → 5年後 → 15年後。

小さな積み重ねが、
やがて大きな未来をつくる。

時間こそが、最強の味方。","「複利と時間のマジック」

小さな芽が、5年後には木になって、15年後には実をつける。その絵を見せてもらったとき、ようやく腑に落ちました。

焦っていたときは、時間が敵に見えていたんです。早くしなきゃ、間に合わない、って。

でも本当は、時間こそが最強の味方だった。

今日いちばん若い日は、今日ですね。",済
2026-08-29,images/7-3.jpg,"私は、子どもたちの未来を守れる。

お金持ちの知恵があるから、もう怖くない。","第3章、これでおしまいです。

あの日、教育費の数字を見て青ざめていた私に伝えたい。

大丈夫。ちゃんと守れるようになるよ、と。

「さあ、これからよ。私と子どもたちの最高の未来が、今、はじまるの」

不安が確信に変わるまで、そんなに時間はかかりませんでした。",済
2026-08-30,images/8-1.jpg,"「いくら増やしても、
守れなければ意味がない」

減らさない。絶対に減らさない。

#3コマ漫画 #資産防衛","富裕層の「守る哲学」を教えてもらいました。

「いくら増やすことを考えても、守れなければ意味がない」

そして、こう続きました。

「富裕層はね、ただ増やすだけじゃない。減らさない。絶対に減らさない」

増やすことばかりに目がいっていた私には、けっこう衝撃でした。

守ることが、最強の戦略。地味だけど、これが本質なんだと思います。",済
2026-08-30,images/8-2.jpg,"守る → 育てる → 分かち合う。

知恵は、分かち合うほどに広がっていく。","気づけば、教わる側から教える側になっていました。

黒板に書いたのは「豊かさのサイクル」。

守る（Protection）→ 育てる（Growth）→ 分かち合う（Sharing）

不思議なもので、分かち合うほどに減るどころか、どんどん広がっていくんです。

知恵って、そういうものなんですね。",済
2026-08-30,images/8-3.jpg,"誰もが豊かになれる未来へ。

分かち合うほどに、豊かさは広がっていく。","たった一人で不安を抱えていたところから始まった話が、気づけばこんなに大勢の景色になっていました。

「誰もが豊かになれる未来へ」

分かち合うほどに、豊かさは広がっていく。

ここまで読んでくださって、ありがとうございます。物語はまだ続きます。",済
2026-08-31,images/9-1.jpg,"「また損が出てる…眠れないよ」

友達の目の下のクマを見て、
言葉が出なかった。

#3コマ漫画","久しぶりに会った友達の顔を見て、言葉が出ませんでした。

目の下にはクマ。会話の途中でも、何度もスマホをのぞき込む。

「また損が出てる…眠れないよ」

心が、すり減っちゃってるね。

それって本当に、あなたが望んだ投資だったのかな。",済
2026-08-31,images/9-2.jpg,"「ここは戦場よ。勝つか負けるか」

——その土俵から、降りませんか？","「ここは戦場よ。勝つか負けるか、勝つか負けるか」

そう言う友達に、私はこう言いました。

「その勝ち負けの土俵から、降りませんか？」

いつまでそれを続けるの、とも。

本当の豊かさは、もっと穏やかで、もっと着実なところにあると思うんです。

戦わない選択って、逃げでしょうか。私は違うと思います。",済
2026-08-31,images/9-3.jpg,"「あの戦場から、降りてもいいなんて」

争いに勝つことが幸せじゃない。
平和を築くことが、一番の勝利。","「あの戦場から降りてもいいなんて、知らなかった…」

友達がそう言って、少しだけ泣きました。

知らないだけで、選択肢がないと思い込んでしまうことって、ありますよね。

争いに勝つことが本当の幸せじゃない。平和を築くことが、一番の勝利なの。

今度は二人で、同じ道を歩いていきます。",済
2026-09-01,images/10-1.jpg,"「守りの土台ができたから、もう迷わない」

これが、本当の安心なんですね。

#3コマ漫画","自分が教わったことを話しているだけなのに、それが誰かの力になっている。

不思議な感覚でした。

「守りの土台ができたから、もう迷わない」
「これが、本当の安心なんですね」

安心って、増えた金額のことじゃないんだなと、あらためて思います。",済
2026-09-01,images/10-2.jpg,"分かち合うことで、豊かさは何倍にもなる。

この時間が、一番の財産。","持ち寄りのごはんを囲んで、笑いながら話す。ただそれだけの時間。

でも「この時間が、一番の財産ですね」という一言に、全員がうなずきました。

孤独を回避し、信頼でつながる世界。

いちばん増やしたかったのは、たぶんこれだったんだと思います。

あなたにとって「一番の財産」って、何ですか？",済
2026-09-01,images/10-3.jpg,"守る力を、手に入れた。

次は、みんなのために。

さあ、次のステージへ。","夕暮れの街を見下ろしながら、思いました。

守る力は、もう手に入れた。

じゃあ次は何のために使おう、と考えたとき、自然と浮かんだのが「まわりの人のために」でした。

自分のためだけだと、たぶんここで止まっていたと思います。

さあ、次のステージへ。",済
2026-09-02,images/11-1.jpg,"「資産とは、黄金の山ではない。
それを育む土壌の豊かさのことだ」

師匠の原点は、小さな庭にあった。

#3コマ漫画","師匠に「原点を見せてあげよう」と連れて行かれたのは、豪華なオフィスではなく、小さな庭でした。

「資産とは、黄金の山ではない。それを育む『土壌』の豊かさのことなんだよ」

土を整えれば、実は自然と結ぶもの。

急いで実を採ろうとしていた自分が、少し恥ずかしくなりました。",済
2026-09-02,images/11-2.jpg,"「お母さんが守ってくれた土台があったから、
私たちはどこまでも飛べた」

知恵は、次の世代の翼になる。","卒業式の日、子どもに言われました。

「お母さんの守ってくれた『土台』があったから、私たちはどこまでも飛べた」

土台をつくるのは、地味で、目立たなくて、誰にも褒められない作業です。

でも、それが誰かの翼になる。

知恵は、次の世代に受け継がれていくものなんですね。",済
2026-09-02,images/11-3.jpg,"豊かさとは、奪い合うものではなく、
循環させるもの。

この物語は、終わらない。","長い物語に、最後までお付き合いいただきありがとうございました。

「豊かさとは、奪い合うものではなく、循環させるもの」

これが、全部を通していちばん伝えたかったことです。

そしてこの物語は、終わりません。あなたがその最初の一歩を踏み出す限り。

明日からは、また新しいお話を始めます。",済
2026-09-03,images/12-1.jpg,"退職まで、あと少し。

貯金はある。
でも、これを切り崩していくのか…？

#3コマ漫画 #老後資金","新しいお話です。

退職まであと少し。お給料があったから、毎日をそれなりに楽しめていました。貯金もこつこつ続けてきました。

でも、ふと立ち止まって思うんです。

これを切り崩して暮らしていって、本当に大丈夫なのかな。私は、いつまで元気でいられるのかな。

同じことを考えたこと、ありませんか？",済
2026-09-03,images/12-2.jpg,"退職金が入ると営業電話が来るらしい。

詐欺の話も聞くし、
株やFXを今から勉強してできる？","「退職金が入ると営業電話が来る」という話、聞いたことありますか？

実際、鳴りやまないそうです。詐欺の話も耳に入ってくる。

かといって、株やFXを今から勉強してできるかというと、それも自信がない。

大切な老後資金を、リスクのあるもので運用していいのかな。

この「どうしたらいいかわからない」時期が、いちばんしんどいんですよね。",済
2026-09-03,images/12-3.jpg,"「大切なのは、急いで増やすことではないのよ」

まずは、守る方法から学んでいこう。","人生の先輩に相談したら、こう言われました。

「大切なのは、急いで増やすことではないのよ」
「大きなお金に慣れていないなら、無理にリスクを取らないこと」

焦っていた気持ちが、すっと落ち着きました。

先を歩く人から堅実な考え方を学ぶ。まずは、守る方法から。

急がなくていい、と言ってもらえるだけで救われることってありますよね。",済
2026-09-04,images/13-1.jpg,"「価値が上下するものだけで
運用しているわけじゃないのよ」

お金を増やすより、価値を守る視点。

#3コマ漫画","資産家の方から学んだこと、として教えてもらった話です。

「価値が上下に変動するものだけで運用しているわけではないの」
「不動産のように、実物資産に交換するという考え方もあるのよ」

増やす方法ばかり探していた私には、なかった発想でした。

お金を増やすことだけじゃなく、価値を守る視点。

メモが一気に増えた日でした。",済
2026-09-04,images/13-2.jpg,"「実物資産なら何でもいい、わけじゃない」

取得 → 運用 → 出口。

大切なのは、出口が読めるかどうか。","「実物資産ならなんでもいいわけではないの」

そう言われて見せられたのが、この3つの矢印でした。

取得 → 運用 → 出口

大切なのは、出口が読めるかどうか。将来の価値を支える根拠まで調べること。

情報は信頼関係の中で共有されることもある。だからこそ、自分で見極める力が必要なんだと思います。",済
2026-09-04,images/13-3.jpg,"ESBIのEとSの視点だけでは、
見えにくい世界がある。

富裕層を目指すなら、富裕層に学ぶ。","「まずは資本主義の仕組みを理解することから始めましょう」

そう言われて、頭を殴られたような気持ちになりました。

働く側（EとS）の視点だけでは、見えにくい世界がある。

考え方をアップデートする必要があるんだ、と。

富裕層を目指すなら、富裕層に学ぶべき。誰に学ぶかを選ぶって、大事ですね。",済
2026-09-05,images/14-1.jpg,"消費・浪費・投資に分ける。

使うお金と、守るお金を分ける。

富裕層ほど、最初に土台を整える。

#3コマ漫画 #家計","教わったことを、さっそくやってみました。

まずは自分のお金の流れを見えるようにすること。

ノートを「消費・浪費・投資」の3つに分けて、使うお金と守るお金を分ける。

たったこれだけなのに、自分が何にお金を使っていたかがはっきり見えました。

富裕層ほど、最初に土台を整えるそうです。まずはここからですね。",済
2026-09-05,images/14-2.jpg,"「本日中のお申し込みで」

——急いで決めてください、って
本当に今なのかな。","スマホに届いた「本日中のお申し込みで」の文字。

急いで決めてください、と言われるほど、逆に立ち止まったほうがいいのかもしれません。

・利率が高い＝リスクが高い
・リスクはとらない
・金額が小さすぎないか
・出口が決まっているか

踊らないことも、自分の資産を守る力。

焦らされたときこそ、いったんお茶を飲む。おすすめです。",済
2026-09-05,images/14-3.jpg,"何を選ぶかの前に、
どう判断するかを考える。

本当の資産は、お金だけじゃない。","学びを続けるうちに、順番が変わってきました。

「何を選ぶか」の前に「どう判断するか」を考える。

私の判断の軸は、この2つです。
・一次情報に近い情報を取りにいく
・プロや先人たちの話を、素直に聞いてみる

大きく賭けるより、小さく確かめて積み上げる。

本当の資産は、お金だけじゃない。自分の未来を、自分で作れるようになりたいです。",済
2026-09-06,images/15-1.jpg,"「すごい人」を遠くから眺めているだけでは、
何も変わらなかった。

まずは、少し先を歩く人を見つける。

#3コマ漫画 #学び","「成長したいけれど、何から始めればいいですか？」

返ってきたのは「まずは今のあなたより少し先を歩く人を見つけなさい」でした。

遠くのすごい人に憧れているだけだと、まぶしくて動けないんですよね。

時間の使い方、約束の守り方、考え方。まねできる小さな一歩から。

あなたが今、いちばん近くで見ている人は誰ですか？",済
2026-09-06,images/15-2.jpg,"聞いたこと。やったこと。気づいたこと。

うまくできなかったことも、正直に書く。","一か月、教わったことを一つずつ試して、3列のノートに書いてみました。

「聞いたこと」「やったこと」「気づいたこと」

うまくできなかったことも、正直に。

「優秀なフォロワーは、言われた通りに動くだけの人ではないの」

素直に行動して、相談して、報告して、また行動する。それだけなんですけど、これがいちばん効きました。",済
2026-09-06,images/15-3.jpg,"目先の言葉より、自分の目的。

約束を守ること。相手の時間を大切にすること。

それが信頼になる。","ノートの一番上に「私の目的」と書きました。

学んだことを、誰かに返せる人になりたい。

目先の言葉に振り回されそうになったら、ここに戻ってきます。

約束を守ること。相手の時間を大切にすること。そんな人格が信頼をつくって、未来の選択肢を広げていく。

地味だけど、これが一番の近道な気がしています。",済
2026-09-07,images/16-1.jpg,"「情報をもらうためじゃない。
学ぶために来たんだ」

ここでは、何を増やすかより
何を守るかを話す。

#3コマ漫画","紹介されて、ある会に参加しました。看板には「資産を長期で考える会」。

入る前に自分に言い聞かせたのは「情報をもらうためじゃない、学ぶために来たんだ」ということ。

そこで最初に言われたのが

「ここでは何を増やすかより、何を守るかを話すの」

順番が逆だったな、と思いました。",済
2026-09-07,images/16-2.jpg,"増やす前に、まず
「減らしにくい状態」をつくる。

守るべきものを先に決めれば、焦らずに済む。","「資産を増やす前に、まず減らしにくい状態をつくるの」

ノートに書いたのは3つの言葉。

守る → 整える → 選ぶ

生活に必要なお金まで、理解できないものに置かない。

守るべきものを先に決めておけば、焦らずに済む。無理のない範囲を知ることも、長く続けるための力なんだそうです。",済
2026-09-07,images/16-3.jpg,"大きなリスクを取って
自分を証明する必要はない。

急がない。理解して選ぶ。守れる範囲で。","「大きなリスクを取って、自分を証明する必要はないんです」

この言葉に、ずいぶん救われました。

どこかで「勝負しなきゃ本気じゃない」と思っていた気がします。

私の基準は3つ。急がない。理解して選ぶ。守れる範囲で。

減らさないことが、次の選択肢を守る。焦らず、守る力を高めていきます。",済
2026-09-08,images/17-1.jpg,"目的と範囲を決めて、
理解できることから始める。

急いで大きくするより、続けられる形を。

#3コマ漫画","「初めての一歩は、何を大切にすればいいですか？」

「まずは目的と範囲を決めて、理解できることから始めるの」

チェックリストに書いたのは
・余剰資金の一部で
・目的を言葉にする
・困るお金は使わない

生活を守るお金は、別にしてあります。

小さく始めて、学びながら確かめる。急いで大きくするより、続けられる形を選びました。",済
2026-09-08,images/17-2.jpg,"「〇〇ショック」の通知。

前なら手が震えていた。
今日は、目的に戻れた。","数か月後、スマホに「〇〇ショック」の通知が流れてきました。

前の私なら、その日は何も手につかなかったと思います。

でも今回は、ノートを開いて「私は何のために始めたんだっけ」に戻れました。

生活を守るお金は別にしてある。長い目で見る。

小さく始めたからこそ、感情で動かずに学べる。慌てずに選択肢を守れたことが、この数か月でいちばんの成果でした。",済
